state_fips,state_abbrev,state_name,year,beer_tax_usd_per_gallon,policy_change_count_sunday_sales,policy_change_count_underage_purchase,fars_fatalities_total,fars_fatalities_alcohol_involved,fars_fatalities_impaired,rate_alcohol_involved_per100k,rate_impaired_per100k,unemployment_rate,pcpi_nominal,population_thousands,vmt_total_million,vmt_per_capita
39,OH,Ohio,2021,0.18,0,0,1354,437,332,3.7136672472564753,2.8213673365884433,5.241666666666666,57330.0,11767.344,112923.0,9596.303124987253
39,OH,Ohio,2022,0.18,0,0,1274,390,300,3.311293702072208,2.547149001594006,3.975,58301.0,11777.874,110578.0,9388.621409942067
39,OH,Ohio,2023,0.18,0,0,1242,391,304,3.3068240500661616,2.5710345555501615,3.6333333333333337,61297.0,11824.034,113224.0,9575.750543342483
40,OK,Oklahoma,2003,0.4,0,0,671,241,412,6.8761034576814355,11.75499844217739,5.383333333333333,27184.0,3504.892,45380.10443917314,12947.647014279795
40,OK,Oklahoma,2004,0.4,0,0,774,244,454,6.921528307490597,12.87858135901939,4.708333333333333,29194.0,3525.233,46550.91581581882,13205.060719623021
40,OK,Oklahoma,2005,0.4,0,0,803,253,466,7.129578253039159,13.131950458166987,4.325,31699.0,3548.597,46937.77910180172,13227.137119769228
40,OK,Oklahoma,2006,0.4,0,0,765,231,390,6.427218016243332,10.85114730015108,3.908333333333333,34650.0,3594.09,47325.41174940698,13167.564459823483
40,OK,Oklahoma,2007,0.4,0,0,766,225,393,6.190929929954442,10.813490944320428,3.9583333333333335,35493.0,3634.349,47572.0,13089.551939013012
40,OK,Oklahoma,2008,0.4,0,0,750,268,292,7.304490408222893,7.958623877615989,3.608333333333333,39154.0,3668.976,48499.0,13218.674638373213
40,OK,Oklahoma,2009,0.4,0,0,737,251,273,6.751718594824794,7.3435026947695965,6.516666666666667,35835.0,3717.572,46997.0,12641.853338684496
40,OK,Oklahoma,2010,0.4,0,0,668,240,250,6.382954957082607,6.648911413627715,6.441666666666666,37157.0,3760.014,47746.0,12698.356974202756
40,OK,Oklahoma,2011,0.4,0,0,696,241,234,6.360812748230058,6.1760588509785626,5.566666666666666,39694.0,3788.824,47464.0,12527.369970207114
40,OK,Oklahoma,2012,0.4,0,0,709,226,281,5.917283704952714,7.357330624299614,5.075,41905.0,3819.32,47872.0,12534.168385995414
40,OK,Oklahoma,2013,0.4,0,0,678,191,266,4.956030152383656,6.902115290754201,5.116666666666666,43607.0,3853.891,47999.0,12454.685407553043
40,OK,Oklahoma,2014,0.4,0,0,669,170,244,4.3823615618427265,6.289977771115442,4.341666666666667,45884.0,3879.187,47699.0,12296.133184608012
40,OK,Oklahoma,2015,0.4,0,3,645,187,145,4.781975175667264,3.70794866562435,4.283333333333333,44279.0,3910.518,47713.0,12201.196874685143
40,OK,Oklahoma,2016,0.4,0,0,687,186,163,4.735061834561521,4.149543435664129,4.6499999999999995,42053.0,3928.143,49013.0,12477.397080503433
40,OK,Oklahoma,2017,0.4,0,0,657,171,137,4.347160693939041,3.4828129536236765,4.033333333333333,43873.0,3933.602,49402.0,12558.972666782252
40,OK,Oklahoma,2018,0.4,3,3,655,159,118,4.031963581479137,2.992274859210932,3.2916666666666665,46030.0,3943.488,45433.0,11521.01895580765
40,OK,Oklahoma,2019,0.4,0,0,640,168,133,4.241700154216098,3.3580126220877444,3.1166666666666667,48177.0,3960.676,44648.0,11272.823124133354
40,OK,Oklahoma,2020,0.4,0,0,653,197,155,4.967954173775002,3.908796431142768,6.3,50020.0,3965.415,42000.0,10591.57742632234
40,OK,Oklahoma,2021,0.4,0,0,762,205,156,5.134964398415125,3.9075826641598024,4.0249999999999995,54492.0,3992.238,44760.0,11211.756413320047
40,OK,Oklahoma,2022,0.4,0,0,710,180,146,4.470684603384457,3.626221956078504,3.025,57943.0,4026.229,44566.0,11068.918335246206
40,OK,Oklahoma,2023,0.4,0,0,718,210,141,5.167472874458461,3.469588929993538,3.1999999999999997,60395.0,4063.882,45760.0,11260.169463581866
41,OR,Oregon,2003,0.08,0,0,512,168,197,4.735894926277902,5.553400598075873,8.016666666666667,29523.0,3547.376,33148.88231020908,9344.620449089434
41,OR,Oregon,2004,0.08,0,0,456,178,196,4.98674450470561,5.491022038889323,7.316666666666666,30980.0,3569.463,34004.126893965025,9526.398478977097
41,OR,Oregon,2005,0.08,0,0,487,140,217,3.8746795778370546,6.005753345647434,6.166666666666667,32125.0,3613.202,34286.719578483346,9489.289438698237
41,OR,Oregon,2006,0.08,0,0,478,161,190,4.385865744018537,5.17586640598461,5.391666666666667,34488.0,3670.883,34569.87425989852,9417.318465311622
41,OR,Oregon,2007,0.08,0,0,455,165,163,4.432603870012414,4.378875338254688,5.158333333333333,35624.0,3722.417,34750.0,9335.332392904933
41,OR,Oregon,2008,0.08,0,0,416,151,131,4.00663562541194,3.475955410125591,6.308333333333334,36856.0,3768.748,33468.0,8880.402722601777
41,OR,Oregon,2009,0.08,0,0,377,128,121,3.360814997636927,3.177020427453657,10.633333333333333,35286.0,3808.6,33972.0,8919.813054665756
41,OR,Oregon,2010,0.08,0,0,317,80,138,2.0846286260160607,3.5959843798777054,10.558333333333332,35941.0,3837.614,33774.0,8800.780901883305
41,OR,Oregon,2011,0.08,0,0,331,107,138,2.762950231777956,3.563431140050074,9.458333333333334,37531.0,3872.672,33373.0,8617.564307021095
41,OR,Oregon,2012,0.08,0,0,337,96,154,2.4614740845239433,3.948614677257159,8.708333333333334,39128.0,3900.102,33173.0,8505.67497978258
41,OR,Oregon,2013,0.08,0,0,313,111,128,2.8286668824268433,3.261886134690414,7.75,39462.0,3924.11,33706.0,8589.46359811524
41,OR,Oregon,2014,0.08,0,0,357,108,154,2.723526502812924,3.883547050307317,6.641666666666667,41654.0,3965.447,34610.0,8727.89372799586
41,OR,Oregon,2015,0.08,0,0,446,166,134,4.130851438158417,3.3345427271881194,5.458333333333333,44166.0,4018.542,35999.0,8958.224151943665
41,OR,Oregon,2016,0.08,0,0,498,147,125,3.591259899478925,3.0537924315296987,4.75,45467.0,4093.271,36719.0,8970.576343467119
41,OR,Oregon,2017,0.08,0,0,439,150,112,3.6168161697723864,2.700556073430049,4.066666666666666,47566.0,4147.294,36753.0,8861.922979176301
41,OR,Oregon,2018,0.08,0,0,502,142,103,3.394256249136497,2.4620309412750645,4.033333333333333,50209.0,4183.538,36848.0,8807.855934378988
